track_id,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
4zRZAmBQP8vhNPf9i9opXt,Why Don't We,boy band,0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979,190027,1549337
5teOR8KU4XNWY2WlVUDiIR,Loote,alt z,0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,174107,463954
0DXaw9Hm2k8KNIF7cnCzvH,Young Ejecta,solipsynthm,0.659,0.834,8,-5.715,1,0.0387,0.232,0.55,0.236,0.607,116.048,219258,60424
4hdog9vyyqG9pcppG2Izek,blackbear,pop,0.707,0.707,11,-6.161,0,0.0375,0.0306,0,0.127,0.231,104.039,223296,223286
,Albanos Xwris Xartia,,,,,,,,,,,,,,76195
,Trefuego,,,,,,,,,,,,,,5128208
23KVefoON2iEz1dh940quQ,Ellise,alt z,0.765,0.53,10,-7.18,0,0.0833,0.509,4.15E-06,0.117,0.529,130.104,188387,3234388
0C2XDhJ1pZQnsceOJXg71d,Bahari,alt z,0.661,0.552,8,-8.015,0,0.0278,0.242,0,0.0953,0.408,110.072,188182,1700511
0mHGftgYtmpH4y17T3VZ2E,blackbear,pop,0.615,0.774,4,-5.152,0,0.0551,0.0173,0,0.15,0.336,136.887,191364,5728917
2oC9Ah7npALCCPW5DC1gob,Project AER,ambient guitar,0.496,0.255,9,-17.984,1,0.0283,0.937,0.845,0.0909,0.0809,141.961,120000,119999
0PDlmmYkuQCUAFhMXvtlsU,AURORA,art pop,0.541,0.556,11,-6.15,0,0.0356,0.465,0,0.116,0.106,105.886,215573,1945555
1YMBg7rOjxzbya0fPOYfNX,DJ Snake,edm,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18E-06,0.142,0.587,104.996,198286,66060
4skbQNtyjy8A7mo8oqe2oD,Chris Lake,bass house,0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016,192455,192455
3Yvi5NkUrSppVwrMHYkB6u,James Horner,orchestral soundtrack,0.0828,0.012,9,-36.045,0,0.0451,0.9,0.812,0.0875,0.0578,169.895,97667,97568
00cBcYOlnHoXX9ver3cmdE,JP Saxe,alt z,0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,225680,99339
16etWeo0rOinAg5lTy5hCD,New Empire,,0.497,0.425,2,-8.317,1,0.0325,0.771,1.11E-05,0.109,0.234,148.074,206854,2787373
2EbVt97m6KzG0medUfHOHo,Sammieforreal,,0.405,0.273,4,-18.285,0,0.0515,0.306,0.448,0.217,0.187,79.91,261346,27783728
